"","CODE","pCycle","Abs.Growth","Cycle.y"
"1","E02002330",0.0180394826412526,0.0512395324490284,55
"2","E02002331",0.0210727969348659,-0.434350455505522,58
"3","E02002332",0.0154320987654321,-0.139390505865968,44
"4","E02002333",0.0206653225806452,0.175775955543508,72
"5","E02002334",0.0165573258356764,0.133561835718529,46
"6","E02002335",0.0106772422208664,0.688544628842929,11
"7","E02002336",0.0121359223300971,0.263021890804386,25
"8","E02002337",0.00919063148532464,-0.24766624552098,31
"9","E02002338",0.0159782936388303,0.313553070929191,37
"10","E02002339",0.0160919540229885,-0.157721890934232,47
"11","E02002340",0.0204454180357795,0.223711504961779,50
"12","E02002341",0.00934861278648975,0.182510181470291,24
"13","E02002342",0.0151987529228371,0.452914291547875,29
"14","E02002343",0.0110515740120563,0.0673268019421511,31
"15","E02002344",0.0112390350877193,0.54692203291405,19
"16","E02002345",0.0181144503911075,0.900974629399061,24
"17","E02002346",0.00892857142857143,-0.148809523809524,26
"18","E02002347",0.0117361392148928,0.0236599196493492,25
"19","E02002348",0.0135291843834557,0.486224257577931,21
"20","E02002349",0.0227106227106227,1.1400170292526,29
"21","E02002350",0.0158558558558559,0.888337879163567,19
"22","E02002351",0.00741962077493817,-0.182407670405343,22
"23","E02002352",0.0265172225259705,1.22889515702018,46
"24","E02002353",0.0335060449050086,1.94942454949791,38
"25","E02002354",0.0155542986425339,0.246610917541022,42
"26","E02002356",0.0195867990340757,0.766222887323262,43
"27","E02002357",0.0215897939156035,0.799175203363454,50
"28","E02002358",0.00894721145243066,-0.297529227335176,40
"29","E02002359",0.00979706088173548,0.435043778805356,15
"30","E02002360",0.0347617620617321,2.01604891302458,39
"31","E02002361",0.03,1.54191980558931,36
"32","E02002362",0.033373063170441,2.0986052792135,37
"33","E02002363",0.0358353510895884,1.58976563855385,64
"34","E02002364",0.0142159040426477,0.035451790403385,28
"35","E02002366",0.0199004975124378,0.708840815632743,39
"36","E02002367",0.0285836177474403,0.342961364066409,49
"37","E02002368",0.0178699070764832,1.07152565536434,26
"38","E02002369",0.0175502742230347,-0.00943708323612458,43
"39","E02002370",0.0169308357348703,0.204865301473803,36
"40","E02002371",0.0254413291796469,0.33915129281157,54
"41","E02002373",0.0480890913692736,2.23446744958245,83
"42","E02002374",0.0414323764427345,2.03978936841138,61
"43","E02002375",0.0184169278996865,0.187361052920328,38
"44","E02002376",0.0183006535947712,0.373754679865474,27
"45","E02002377",0.0216589861751152,0.610487081542629,24
"46","E02002379",0.0160309563294638,0.322472024928562,23
"47","E02002380",0.0162878787878788,-0.320753405615791,51
"48","E02002381",0.0156778358438365,0.0836846444543174,42
"49","E02002382",0.0101010101010101,-0.508762292201782,31
"50","E02002383",0.0397877984084881,1.74645243282896,54
"51","E02002384",0.0144927536231884,0.200316161652729,30
"52","E02002385",0.0389808917197452,1.11313367384073,97
"53","E02002386",0.0126262626262626,0.178615422517862,44
"54","E02002387",0.0256625999158603,1.24316993610161,31
"55","E02002388",0.0258720930232558,1.10937679001031,45
"56","E02002389",0.0159689253344842,-0.338948174516177,35
"57","E02002390",0.0119549929676512,-0.26613285914231,36
